id,type,huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw
106,SW,109.7,4.65,109.87,4.04,35.16,3.25,76.8,3.56,47.27,2.98
107,SW,100.69,4.8,101.28,4.13,36.36,3.36,85.62,4.2,52.54,3.03
108,SW,100.08,5.07,100.81,4.04,37.15,3.77,87.55,3.96,52.91,2.82
109,SW,70.04,4.74,61.26,3.97,28.12,2.98,71.11,3.44,40.23,1.91
110,SW,75.95,5.42,66.16,4.16,30.71,3.1,78.94,3.56,44.82,2.22
111,SW,106.23,6.82,104.02,5.07,40.06,4.96,105.34,4.99,57.27,3.2
112,SW,105.19,7.1,96.85,5.43,37.61,4.43,102.04,4.9,54.78,2.83
113,SW,76.49,5.36,69.06,4.02,30.07,3.03,72.41,3.71,43.11,2.08
114,SW,65.66,3.79,61.06,3.35,24.95,2.44,63.76,2.72,40.19,1.89
115,SW,98.73,6.48,91.69,5.31,35.34,4.02,92.36,4.46,50.53,2.69
116,W,157,9,192,7.02,85.6,6.44,227,6.84,175,6.77
117,W,190,11.92,225,8.55,101.75,7.75,240,7.71,175,7
118,W,70.01,3.71,76.9,2.88,49.42,3.08,79.56,3.35,52.74,3.02
119,W,92.93,5.28,110.94,3.87,55.11,4.16,137,4.29,96.37,3.79
120,W,118.52,6.87,134.91,5.06,78.2,5.24,132,5.38,85.28,4.74
121,W,120.26,7.01,132.42,5.4,67,5.35,130.1,5.22,87.53,5.12
122,W,67.63,4.37,60.17,3.73,53.03,4.08,92.18,4.31,54.38,4.14
123,W,57.08,4.28,46.72,3.63,53.64,4.11,89.93,4.23,58.14,4.32
124,W,48.19,3.44,43.71,3.01,50.46,3.6,94.86,3.45,55,4.57
125,W,30.99,2.09,26.14,1.82,32.83,2.09,50.67,1.98,30.8,1.95
126,W,34.17,2.21,27.8,1.97,35.82,2.32,51.77,2.06,33.13,1.93
127,W,37.64,2.2,31.58,1.87,37.69,2.37,57.06,2.19,37.19,2.2
128,W,35.11,2.51,29.18,2.54,23.2,1.81,38.09,1.84,18.33,1.57
129,W,33.37,2.69,30.06,2.51,22.86,1.84,38.3,1.87,19.13,1.54
130,W,34.8,2.44,29.12,2.38,23.16,1.6,35.5,1.51,19.07,1.47
131,W,74.89,5.63,60.54,4.67,45.38,3.3,72.16,3.53,31.94,4.36
